frequency,segment_length,overlap,training_time,accuracy,auc,recall,precision,f1_score,trainable_parameters
4,11,0.25,46.04278206825256,0.9348887205123901,0.6529689431190491,0.1442786008119583,0.180685356259346,0.08267776668071747,14113.0
4,11,0.5,83.64479303359985,0.9340651631355286,0.7355214953422546,0.16694214940071106,0.1946050077676773,0.08294203877449036,14113.0
4,11,0.75,82.57566905021667,0.9437163472175598,0.7029890418052673,0.11708729714155197,0.218195840716362,0.0828477293252945,14113.0
4,15,0.25,43.189537048339844,0.922176718711853,0.6988665461540222,0.16624684631824493,0.24719101190567017,0.1097746267914772,16161.0
4,15,0.5,54.62677788734436,0.8866783976554871,0.7250316739082336,0.3046744465827942,0.19665947556495667,0.11038421094417572,16161.0
4,15,0.75,92.1546323299408,0.8973934054374695,0.7167304158210754,0.25896579027175903,0.20347313582897186,0.11048398166894913,16161.0
4,20,0.25,24.797826766967773,0.8538821935653687,0.7075868248939514,0.34119105339050293,0.22141706943511963,0.14577680826187134,19233.0
4,20,0.5,43.59453368186951,0.8526466488838196,0.7522546052932739,0.4052501916885376,0.2427518367767334,0.14689400792121887,19233.0
4,20,0.75,62.0556161403656,0.8550710678100586,0.7797858715057373,0.4155574142932892,0.246605783700943,0.14500707387924194,19233.0
4,30,0.25,30.77528190612793,0.7787532806396484,0.7666702270507812,0.6322417855262756,0.29152148962020874,0.20818036794662476,24353.0
4,30,0.5,35.43680691719055,0.8182439208030701,0.7979894280433655,0.5494966506958008,0.33064109086990356,0.2083551585674286,24353.0
4,30,0.75,58.44976019859314,0.8246974945068359,0.8073481917381287,0.5573770403862,0.3429901599884033,0.20799995958805084,24353.0
4,60,0.25,24.562127113342285,0.7050380706787109,0.8368950486183167,0.8342939615249634,0.39360979199409485,0.3378773033618927,39713.0
4,60,0.5,15.9680917263031,0.20332030951976776,0.5112531781196594,1.0,0.20332030951976776,0.33793213963508606,39713.0
4,60,0.75,47.326515197753906,0.7779839634895325,0.8499066829681396,0.7551509141921997,0.47213900089263916,0.33866122364997864,39713.0
8,11,0.25,56.03289031982422,0.9265218377113342,0.7166900634765625,0.21338383853435516,0.18449781835079193,0.0814940482378006,20257.0
8,11,0.5,63.512829065322876,0.9138985276222229,0.6885532140731812,0.26549413800239563,0.17153680324554443,0.08189018815755844,20257.0
8,11,0.75,80.15694093704224,0.9388889670372009,0.6819837093353271,0.12037037312984467,0.17719949781894684,0.08149964362382889,20257.0
